iter	Passed	Remaining
244	437	1349
245	439	1347
246	440	1344
247	442	1341
248	443	1338
249	445	1337
250	447	1334
251	448	1331
252	450	1329
253	451	1327
254	453	1324
255	454	1322
256	456	1319
257	457	1316
258	459	1314
259	461	1313
260	462	1310
261	464	1308
262	465	1305
263	467	1302
264	468	1299
265	470	1297
266	471	1294
267	473	1292
268	474	1289
269	476	1287
270	477	1285
271	503	1347
272	505	1346
273	507	1344
274	509	1342
275	510	1339
276	512	1336
277	513	1333
278	515	1331
279	516	1328
280	518	1326
281	520	1324
282	521	1321
283	523	1319
284	524	1316
285	526	1314
286	528	1312
287	529	1309
288	531	1307
289	532	1304
290	534	1302
291	537	1302
292	538	1299
293	540	1296
294	541	1294
295	543	1292
296	545	1290
297	546	1287
298	547	1284
299	549	1281
300	551	1279
301	552	1277
302	554	1274
303	555	1271
304	556	1269
305	558	1266
306	560	1264
307	561	1262
308	563	1259
309	564	1257
310	566	1254
311	567	1251
312	569	1249
313	570	1246
314	571	1243
315	573	1241
316	575	1238
317	576	1236
318	578	1234
319	580	1233
320	581	1230
321	583	1228
322	584	1226
323	586	1223
324	587	1221
325	589	1218
326	590	1215
327	592	1213
328	593	1210
329	595	1208
330	596	1205
331	598	1203
332	599	1200
333	600	1198
334	602	1196
335	604	1193
336	605	1191
337	606	1188
338	608	1185
339	609	1183
340	611	1181
341	612	1179
342	614	1176
343	615	1174
344	617	1171
345	618	1169
346	619	1166
347	621	1164
348	622	1161
349	624	1159
350	625	1157
351	627	1155
352	628	1152
353	630	1150
354	631	1147
355	633	1145
356	634	1142
357	635	1140
358	637	1138
359	639	1136
360	640	1134
361	642	1131
362	643	1129
363	645	1127
364	646	1125
365	648	1123
366	649	1120
367	651	1118
368	652	1115
369	654	1114
370	655	1112
371	657	1109
372	658	1107
373	660	1104
374	661	1102
375	663	1100
376	664	1098
377	666	1095
378	667	1093
379	669	1093
380	671	1090
381	672	1088
382	674	1086
383	675	1084
384	677	1081
385	678	1079
386	680	1077
387	681	1074
388	683	1073
389	685	1071
390	686	1069
391	688	1067
392	690	1065
393	691	1064
394	693	1062
395	697	1063
396	699	1061
397	700	1059
398	701	1057
399	703	1055
400	704	1053
401	706	1050
402	708	1048
403	709	1046
404	711	1044
405	713	1043
406	714	1041
407	716	1039
408	717	1037
409	719	1035
410	720	1033
411	722	1031
412	723	1028
413	725	1026
414	726	1024
415	728	1022
416	729	1020
417	731	1018
418	732	1016
419	734	1014
420	735	1012
421	737	1009
422	739	1008
423	741	1007
424	743	1005
425	744	1003
426	746	1001
427	748	1000
428	750	998
429	751	996
430	753	994
431	755	993
432	757	991
433	759	989
434	760	987
435	762	985
436	763	983
437	764	981
438	766	979
439	768	977
440	769	975
441	771	974
442	773	972
443	774	970
444	776	968
445	778	966
446	779	964
447	781	962
448	782	960
449	784	958
450	786	956
451	787	955
452	789	953
453	790	951
454	792	949
455	793	947
456	795	945
457	796	943
458	798	941
459	800	939
460	801	937
461	803	935
462	805	933
463	806	931
464	808	929
465	809	928
466	811	926
467	813	924
468	814	922
469	816	920
470	817	918
471	819	916
472	821	914
473	822	913
474	824	911
475	826	909
476	828	908
477	832	908
478	834	907
479	836	906
480	838	904
481	840	903
482	841	901
483	844	899
484	846	898
485	847	896
486	849	894
487	851	892
488	852	890
489	854	889
490	855	886
491	857	885
492	859	883
493	860	881
494	862	880
495	864	878
496	867	878
497	869	876
498	871	875
499	873	873
500	875	871
501	877	870
502	878	868
503	880	866
504	882	864
505	884	863
506	885	861
507	886	859
508	889	858
509	891	856
510	893	854
511	894	852
512	896	851
513	898	849
514	899	847
515	901	845
516	905	845
517	906	843
518	908	841
519	909	839
520	911	837
521	912	835
522	914	833
523	915	831
524	917	829
525	918	827
526	920	826
527	922	824
528	923	822
529	925	820
530	927	818
531	928	817
532	931	816
533	933	814
534	935	813
535	937	811
536	938	809
537	940	807
538	942	806
539	943	804
540	945	802
541	947	800
542	949	798
543	950	796
544	952	794
545	953	792
546	957	793
547	959	791
548	960	789
549	962	787
550	963	785
551	965	783
552	967	781
553	968	779
554	970	778
555	972	776
556	975	775
557	981	777
558	988	780
559	992	780
560	995	778
561	996	776
562	998	775
563	1000	773
564	1002	771
565	1004	770
566	1006	768
567	1008	766
568	1010	765
569	1012	763
570	1013	761
571	1015	759
572	1017	757
573	1019	756
574	1020	754
575	1022	752
576	1024	750
577	1025	749
578	1028	748
579	1030	746
580	1032	744
581	1033	742
582	1035	740
583	1037	738
584	1039	737
585	1041	735
586	1042	733
587	1044	731
588	1046	730
589	1048	728
590	1049	726
591	1051	724
592	1053	723
593	1055	721
594	1056	719
595	1058	717
596	1059	715
597	1062	713
598	1063	712
599	1065	710
600	1067	708
601	1069	706
602	1070	705
603	1072	703
604	1075	702
605	1077	700
606	1079	698
607	1080	696
608	1082	694
609	1083	692
610	1085	690
611	1087	689
612	1088	687
613	1090	685
614	1091	683
615	1093	681
616	1095	680
617	1097	678
618	1099	676
619	1100	674
620	1104	673
621	1105	672
622	1107	670
623	1109	668
624	1110	666
625	1112	664
626	1114	662
627	1115	660
628	1118	659
629	1119	657
630	1121	655
631	1122	653
632	1124	652
633	1126	650
634	1127	648
635	1129	646
636	1130	644
637	1132	642
638	1134	640
639	1136	639
640	1137	637
641	1139	635
642	1140	633
643	1142	631
644	1144	629
645	1146	628
646	1148	626
647	1150	624
648	1152	623
649	1153	621
650	1155	619
651	1156	617
652	1159	615
653	1161	614
654	1162	612
655	1164	610
656	1166	608
657	1167	606
658	1169	605
659	1170	603
660	1172	601
661	1173	599
662	1175	597
663	1177	595
664	1178	593
665	1180	592
666	1182	590
667	1183	588
668	1185	586
669	1186	584
670	1188	582
671	1190	581
672	1192	579
673	1193	577
674	1195	575
675	1196	573
676	1198	571
677	1199	569
678	1201	567
679	1202	565
680	1204	564
681	1205	562
682	1207	560
683	1209	558
684	1210	556
685	1212	554
686	1213	553
687	1215	551
688	1217	549
689	1219	547
690	1220	545
691	1222	544
692	1223	542
693	1225	540
694	1226	538
695	1228	536
696	1230	534
697	1231	532
698	1234	531
699	1236	529
700	1237	527
701	1239	526
702	1241	524
703	1243	522
704	1244	520
705	1246	519
706	1248	517
707	1249	515
708	1251	513
709	1253	511
710	1254	509
711	1256	508
712	1257	506
713	1259	504
714	1260	502
715	1262	500
716	1264	498
717	1268	498
718	1270	496
719	1271	494
720	1273	492
721	1274	490
722	1276	489
723	1279	487
724	1281	486
725	1282	484
726	1284	482
727	1286	480
728	1287	478
729	1289	476
730	1290	474
731	1292	473
732	1294	471
733	1295	469
734	1297	467
735	1298	465
736	1300	464
737	1301	462
738	1303	460
739	1305	458
740	1306	456
741	1308	454
742	1309	453
743	1311	451
744	1312	449
745	1314	447
746	1315	445
747	1317	443
748	1321	442
749	1323	441
750	1324	439
751	1326	437
752	1327	435
753	1329	433
754	1330	431
755	1332	429
756	1333	428
757	1335	426
758	1336	424
759	1338	422
760	1340	420
761	1341	419
762	1343	417
763	1345	415
764	1347	413
765	1349	412
766	1350	410
767	1353	408
768	1355	407
769	1357	405
770	1359	403
771	1361	402
772	1363	400
773	1364	398
774	1367	396
775	1368	395
776	1370	393
777	1372	391
778	1373	389
779	1375	387
780	1376	386
781	1378	384
782	1379	382
783	1382	380
784	1385	379
785	1386	377
786	1388	375
787	1391	374
788	1395	373
789	1397	371
790	1398	369
791	1400	367
792	1402	365
793	1403	364
794	1405	362
795	1406	360
796	1408	358
797	1409	356
798	1412	355
799	1414	353
800	1416	351
801	1417	349
802	1419	348
803	1421	346
804	1423	344
805	1424	342
806	1427	341
807	1428	339
808	1430	337
809	1432	335
810	1433	334
811	1435	332
812	1436	330
813	1438	328
814	1439	326
815	1441	325
816	1443	323
817	1444	321
818	1446	319
819	1447	317
820	1449	316
821	1450	314
822	1452	312
823	1453	310
824	1456	308
825	1458	307
826	1459	305
827	1461	303
828	1462	301
829	1464	299
830	1466	298
831	1467	296
832	1469	294
833	1471	292
834	1473	291
835	1474	289
836	1476	287
837	1477	285
838	1479	283
839	1480	282
840	1482	280
841	1485	278
842	1486	276
843	1488	275
844	1490	273
845	1492	271
846	1493	269
847	1495	268
848	1496	266
849	1499	264
850	1501	262
851	1503	261
852	1504	259
853	1506	257
854	1507	255
855	1509	253
856	1511	252
857	1514	250
858	1515	248
859	1517	247
860	1519	245
861	1520	243
862	1522	241
863	1523	239
864	1525	238
865	1527	236
866	1528	234
867	1530	232
868	1532	230
869	1533	229
870	1535	227
871	1537	225
872	1538	223
873	1540	222
874	1542	220
875	1544	218
876	1545	216
877	1547	214
878	1548	213
879	1550	211
880	1553	209
881	1555	208
882	1557	206
883	1559	204
884	1560	202
885	1562	201
886	1563	199
887	1565	197
888	1567	195
889	1568	193
890	1570	192
891	1572	190
892	1574	188
893	1575	186
894	1577	185
895	1579	183
896	1580	181
897	1582	179
898	1583	177
899	1585	176
900	1587	174
901	1589	172
902	1590	170
903	1592	169
904	1593	167
905	1595	165
906	1596	163
907	1598	161
908	1599	160
909	1601	158
910	1603	156
911	1604	154
912	1606	153
913	1607	151
914	1609	149
915	1610	147
916	1612	145
917	1613	144
918	1615	142
919	1617	140
920	1619	138
921	1620	137
922	1622	135
923	1623	133
924	1625	131
925	1626	130
926	1628	128
927	1630	126
928	1632	124
929	1634	122
930	1636	121
931	1637	119
932	1638	117
933	1640	115
934	1641	114
935	1643	112
936	1644	110
937	1646	108
938	1648	107
939	1650	105
940	1651	103
941	1653	101
942	1655	100
943	1656	98
944	1657	96
945	1659	94
946	1660	92
947	1662	91
948	1663	89
949	1665	87
950	1666	85
951	1668	84
952	1669	82
953	1670	80
954	1672	78
955	1673	77
956	1675	75
957	1676	73
958	1678	71
959	1679	69
960	1681	68
961	1682	66
962	1684	64
963	1685	62
964	1687	61
965	1688	59
966	1690	57
967	1692	55
968	1693	54
969	1695	52
970	1696	50
971	1698	48
972	1699	47
973	1700	45
974	1702	43
975	1705	41
976	1707	40
977	1709	38
978	1711	36
979	1713	34
980	1714	33
981	1716	31
982	1717	29
983	1719	27
984	1721	26
985	1722	24
986	1724	22
987	1724	20
988	1725	19
989	1727	17
990	1728	15
991	1730	13
992	1731	12
993	1733	10
994	1734	8
995	1736	6
996	1738	5
997	1739	3
998	1741	1
999	1742	0
