iter	RMSE
127	51493.20902
128	51421.68641
129	51376.31315
130	51341.46382
131	51246.51377
132	51182.60108
133	51128.28437
134	51000.70943
135	50911.30195
136	50797.89088
137	50716.51051
138	50684.58503
139	50612.69423
140	50497.18599
141	50453.17692
142	50399.33482
143	50348.90237
144	50235.73209
145	50142.61193
146	49997.81669
147	49923.79224
148	49860.72425
149	49786.83167
150	49722.02362
151	49685.82528
152	49627.08545
153	49538.22154
154	49469.22729
155	49403.60996
156	49307.2613
157	49239.19349
158	49158.25451
159	49133.14379
160	49107.39615
161	49070.1514
162	49006.83795
163	48963.30225
164	48918.15081
165	48835.7
166	48761.79334
167	48680.64519
168	48623.39213
169	48546.30166
170	48506.83795
171	48489.18877
172	48441.11271
173	48364.71339
174	48288.89707
175	48233.34177
176	48176.74084
177	48142.40556
178	48106.02605
179	47991.24304
180	47958.51901
181	47860.97395
182	47806.33222
183	47748.71865
184	47646.01025
185	47592.28943
186	47547.51896
187	47490.04843
188	47464.3617
189	47421.75494
190	47367.78109
191	47290.51947
192	47245.49491
193	47210.0344
194	47183.29043
195	47091.15908
196	47030.43087
197	46975.16115
198	46930.11732
199	46881.80744
200	46878.72621
201	46825.20756
202	46744.80683
203	46673.67101
204	46600.65064
205	46527.55974
206	46439.2174
207	46380.73855
208	46328.52809
209	46236.79393
210	46182.63716
211	46093.41843
212	46064.21994
213	46041.08449
214	45930.49139
215	45905.71412
216	45860.75198
217	45758.02453
218	45671.0249
219	45627.37338
220	45564.11907
221	45502.60484
222	45450.28791
223	45374.0572
224	45299.14133
225	45203.32139
226	45182.86836
227	45157.88897
228	45079.76626
229	45021.30223
230	44996.77655
231	44937.94867
232	44877.23686
233	44834.68216
234	44792.15921
235	44770.40674
236	44755.53726
237	44703.50878
238	44661.90993
239	44640.86229
240	44590.59837
241	44572.09301
242	44544.10312
243	44455.73852
244	44437.14349
245	44390.58992
246	44313.2717
247	44263.83688
248	44205.75094
249	44133.45876
250	44085.07341
251	44042.75566
252	44023.93596
253	43978.90401
254	43910.60763
255	43813.92315
256	43757.13432
257	43697.65481
258	43643.449
259	43546.53298
260	43539.94735
261	43483.19591
262	43445.69959
263	43391.98025
264	43376.18496
265	43357.38398
266	43287.64062
267	43271.16015
268	43209.94489
269	43157.00983
270	43142.56759
271	43089.3759
272	43014.93876
273	42948.2784
274	42912.51607
275	42827.72774
276	42817.31976
277	42798.33543
278	42722.1309
279	42662.78679
280	42619.64725
281	42547.78023
282	42479.05001
283	42417.83782
284	42373.73009
285	42358.91924
286	42303.5729
287	42286.58838
288	42210.02727
289	42195.87955
290	42139.43205
291	42128.52516
292	42058.81953
293	42010.45821
294	41969.68665
295	41915.74743
296	41845.3115
297	41765.8263
298	41699.05396
299	41670.31309
300	41619.6883
301	41544.91189
302	41467.50049
303	41434.07669
304	41367.84045
305	41340.36179
306	41277.69849
307	41249.55942
308	41168.69943
309	41123.4689
310	41076.80756
311	41049.78097
312	40977.68645
313	40940.29456
314	40899.50719
315	40844.28983
316	40789.36223
317	40738.09108
318	40671.3406
319	40626.84717
320	40617.89716
321	40572.48541
322	40552.86572
323	40515.29206
324	40413.6288
325	40366.26256
326	40321.97697
327	40284.33975
328	40209.87565
329	40151.57374
330	40126.018
331	40089.17375
332	40053.2766
333	39980.51894
334	39917.20435
335	39862.93274
336	39812.75564
337	39793.96039
338	39754.48292
339	39715.40265
340	39656.90261
341	39630.31396
342	39562.37521
343	39504.86822
344	39455.58894
345	39435.30722
346	39383.72718
347	39361.46717
348	39306.65663
349	39258.84629
350	39193.10296
351	39147.3949
352	39124.95122
353	39104.73612
354	39073.6212
355	39021.57811
356	39005.95464
357	38950.55704
358	38932.51913
359	38892.83762
360	38872.86639
361	38822.21364
362	38785.80376
363	38743.62668
364	38707.39883
365	38662.46862
366	38631.66217
367	38604.2493
368	38594.46737
369	38560.13966
370	38524.48338
371	38516.60525
372	38488.0846
373	38449.3499
374	38424.96729
375	38354.46201
376	38320.21187
377	38286.41753
378	38251.07798
379	38214.87668
380	38193.86438
381	38185.00099
382	38159.91756
383	38098.67755
384	38077.09085
385	38040.99198
386	38016.8494
387	37946.76027
388	37906.04214
389	37892.15665
390	37844.90537
391	37798.18726
392	37761.6423
393	37703.96079
394	37676.09149
395	37621.43098
396	37607.45391
397	37563.56956
398	37520.11675
399	37478.90015
400	37463.69978
401	37454.20663
402	37433.04458
403	37380.54842
404	37374.18584
405	37324.93309
406	37311.99018
407	37295.67456
408	37282.31431
409	37241.50667
410	37220.42099
411	37176.72504
412	37158.45874
413	37129.04188
414	37079.37342
415	37027.63113
416	36983.80176
417	36948.7664
418	36909.87302
419	36871.75788
420	36833.63253
421	36796.91323
422	36773.59783
423	36741.09764
424	36700.45814
425	36659.47321
426	36600.17825
427	36550.36703
428	36526.10946
429	36502.32002
430	36446.85228
431	36437.52218
432	36404.23502
433	36376.51518
434	36337.41107
435	36326.62953
436	36279.28223
437	36217.1283
438	36175.47556
439	36105.4345
440	36057.80162
441	36048.36703
442	36026.17037
443	35982.30242
444	35946.99654
445	35904.78871
446	35829.06804
447	35786.43864
448	35749.45013
449	35710.41262
450	35677.36358
451	35643.31392
452	35618.87323
453	35573.78035
454	35566.10364
455	35511.62689
456	35482.85518
457	35476.31344
458	35434.99709
459	35384.62256
460	35299.19269
461	35255.60718
462	35245.59969
463	35236.25731
464	35206.22072
465	35170.44495
466	35155.71489
467	35114.15627
468	35091.6305
469	35050.32884
470	35000.95109
471	34952.66407
472	34906.79339
473	34885.58355
474	34860.39461
475	34831.41064
476	34795.69543
477	34767.26532
478	34733.87829
479	34706.32484
480	34664.99359
481	34659.12882
482	34616.39945
483	34579.53258
484	34538.71362
485	34528.37114
486	34510.75584
487	34474.75207
488	34449.28023
489	34413.20288
490	34399.25126
491	34378.06594
492	34348.89736
493	34315.72849
494	34295.80345
495	34273.36488
496	34262.21587
497	34224.70579
498	34192.13096
499	34140.14727
500	34108.4799
501	34092.6551
502	34087.17242
503	34077.27334
504	34025.63038
505	34000.51205
506	33979.47042
507	33961.19076
508	33921.856
509	33859.78118
510	33823.07022
511	33793.97357
512	33765.67416
513	33725.09277
514	33699.90532
515	33681.44651
516	33645.35908
517	33608.61073
518	33568.82779
519	33521.22873
520	33494.13233
521	33468.71049
522	33433.01575
523	33428.12067
524	33408.01685
525	33375.97674
526	33351.124
527	33333.35873
528	33285.82533
529	33243.22064
530	33209.30092
531	33176.62368
532	33136.02981
533	33107.46236
534	33071.40776
535	33035.89229
536	33010.56066
537	33001.86001
538	32941.3165
539	32907.70292
540	32866.45269
541	32846.05329
542	32816.21375
543	32779.3368
544	32760.03818
545	32746.79141
546	32726.86523
547	32695.57996
548	32648.6991
549	32632.77575
550	32611.96984
551	32585.66693
552	32549.32356
553	32520.94714
554	32501.44717
555	32467.56444
556	32451.27761
557	32422.6134
558	32368.01312
559	32319.29602
560	32289.99384
561	32245.22326
562	32209.58875
563	32188.63645
564	32169.38964
565	32160.66252
566	32152.47319
567	32138.4147
568	32093.13551
569	32042.97669
570	32017.37105
571	32010.1879
572	31970.59486
573	31927.99313
574	31889.78954
575	31847.62036
576	31828.79365
577	31787.69721
578	31781.22556
579	31761.34632
580	31732.31446
581	31702.99187
582	31680.90536
583	31665.56901
584	31626.72176
585	31613.83237
586	31585.17818
587	31565.07387
588	31547.41919
589	31511.22303
590	31494.51525
591	31474.26312
592	31427.97508
593	31403.57446
594	31386.64377
595	31340.83577
596	31316.12301
597	31287.90923
598	31263.02708
599	31250.1539
600	31225.25643
601	31179.16676
602	31172.38836
603	31149.22673
604	31106.89618
605	31076.28547
606	31061.69177
607	31015.74062
608	30989.74934
609	30976.37842
610	30959.92374
611	30942.24191
612	30931.05962
613	30905.45791
614	30902.47172
615	30876.24012
616	30853.91223
617	30800.45845
618	30777.94445
619	30751.62512
620	30744.90328
621	30713.15379
622	30702.10735
623	30652.11156
624	30641.79863
625	30637.53912
626	30611.34825
627	30592.63211
628	30586.89793
629	30582.67037
630	30552.48368
631	30541.73057
632	30511.49787
633	30475.46479
634	30455.26875
635	30431.76144
636	30410.42236
637	30378.44137
638	30367.45528
639	30352.80596
640	30320.82611
641	30299.66539
642	30274.53792
643	30248.62055
644	30244.4199
645	30204.50066
646	30173.6404
647	30169.22297
648	30140.6494
649	30131.32202
650	30128.51957
651	30111.66622
652	30066.06917
653	30051.38363
654	30021.52687
655	30016.67538
656	29999.37496
657	29965.33011
658	29914.81794
659	29888.32088
660	29861.05132
661	29834.74665
662	29809.97857
663	29788.28277
664	29782.37216
665	29745.62293
666	29699.20445
667	29650.05172
668	29648.58936
669	29627.96219
670	29608.55537
671	29582.47553
672	29566.49744
673	29545.98731
674	29526.07598
675	29497.04248
676	29469.99557
677	29462.91113
678	29416.71196
679	29399.44162
680	29352.59718
681	29320.69563
682	29304.11115
683	29280.01989
684	29262.32838
685	29255.3212
686	29231.97938
687	29225.13467
688	29209.57838
689	29196.63911
690	29177.02048
691	29160.69091
692	29131.09223
693	29128.0026
694	29123.93279
695	29109.73662
696	29091.75779
697	29063.63831
698	29049.08144
699	29045.83686
700	29029.15606
701	29006.2405
702	29005.03042
703	28982.54554
704	28953.55808
705	28938.38004
706	28923.93634
707	28898.83005
708	28887.51719
709	28881.86306
710	28871.77205
711	28865.69758
712	28846.6287
713	28814.83597
714	28801.26464
715	28799.03848
716	28777.74602
717	28765.33539
718	28734.44738
719	28731.85706
720	28710.26342
721	28695.25937
722	28652.60016
723	28642.9579
724	28623.71037
725	28610.03912
726	28601.1743
727	28574.28815
728	28548.04032
729	28532.4496
730	28521.79235
731	28513.65232
732	28487.48887
733	28448.5997
734	28439.75989
735	28434.60453
736	28414.84081
737	28388.9109
738	28371.22936
739	28347.61754
740	28331.81685
741	28317.51464
742	28297.21231
743	28283.12304
744	28242.41634
745	28226.35488
746	28207.77325
747	28200.73848
748	28167.20424
749	28150.63376
750	28118.79803
751	28097.38818
752	28087.76267
753	28048.43841
754	28012.44166
755	28001.67721
756	27993.42501
757	27981.98208
758	27961.70522
759	27959.80135
760	27948.3463
761	27945.34181
